device_id,temp_c,vibration_mm_s,status
DEV-D,42.57,0.537,ok
DEV-A,42.88,0.215,ok
DEV-C,36.43,0.078,ok
DEV-B,39.17,0.66,ok
DEV-E,35.04,0.001,ok
DEV-D,27.39,0.55,ok
DEV-E,40.9,0.21,ok
DEV-B,30.33,0.025,ok
DEV-C,49.01,0.864,ok
DEV-B,28.89,0.232,ok
DEV-B,35.13,0.13,ok
DEV-A,46.21,1.401,ok
DEV-D,49.0,0.511,ok
DEV-C,62.73,1.714,fault
DEV-E,47.86,0.412,ok
DEV-D,33.91,0.781,ok
DEV-A,51.5,1.073,ok
DEV-B,54.4,0.941,ok
DEV-E,41.77,0.281,ok
DEV-E,48.67,0.059,ok
DEV-A,46.65,1.204,ok
DEV-E,38.76,0.364,ok
DEV-E,46.06,0.011,ok
DEV-E,30.81,0.213,ok
DEV-E,40.73,0.453,ok
DEV-C,31.85,0.074,ok
DEV-D,35.63,0.034,ok
DEV-A,46.16,1.124,ok
DEV-A,49.49,0.225,ok
DEV-C,46.24,0.266,ok
DEV-B,44.18,0.035,ok
DEV-D,50.35,1.164,ok
DEV-C,45.95,0.006,ok
DEV-A,35.72,0.032,ok
DEV-A,50.46,1.516,fault
DEV-B,39.81,0.257,ok
DEV-C,45.4,0.412,ok
DEV-C,48.29,0.742,ok
DEV-C,41.97,0.716,ok
DEV-D,26.39,0.414,ok
DEV-A,57.45,0.813,ok
DEV-B,41.68,0.206,ok
DEV-B,25.22,0.079,ok
DEV-E,42.23,0.275,ok
DEV-D,41.14,0.925,ok
DEV-A,49.6,0.521,ok
DEV-A,62.83,1.207,ok
DEV-C,43.31,0.795,ok
DEV-B,37.71,0.75,ok
DEV-D,33.31,0.406,ok
DEV-B,38.94,0.544,ok
DEV-D,39.56,0.001,ok
DEV-E,40.25,0.241,ok
DEV-B,50.16,1.01,ok
DEV-B,38.19,0.259,ok
DEV-E,42.14,0.439,ok
DEV-B,27.18,0.088,ok
DEV-E,34.72,0.566,ok
DEV-B,39.24,0.217,ok
DEV-A,40.36,1.627,fault
DEV-C,45.8,0.323,ok
DEV-B,48.57,0.012,ok
DEV-C,36.15,0.237,ok
DEV-C,39.51,1.072,ok
DEV-E,41.72,0.085,ok
DEV-E,54.29,1.303,ok
DEV-B,41.85,1.027,ok
DEV-D,30.29,0.682,ok
DEV-E,46.45,0.214,ok
DEV-A,44.65,1.248,ok
DEV-C,43.08,0.266,ok
DEV-A,40.81,0.29,ok
DEV-A,27.34,0.06,ok
DEV-B,50.74,1.016,ok
DEV-B,43.67,0.49,ok
DEV-C,35.42,0.072,ok
DEV-C,52.13,0.967,ok
DEV-A,29.01,0.362,ok
DEV-B,41.3,0.695,ok
DEV-A,42.66,0.214,ok
DEV-E,37.28,0.048,ok
DEV-E,51.46,0.856,ok
DEV-B,34.33,0.135,ok
DEV-B,44.44,0.208,ok
DEV-D,38.78,1.981,fault
DEV-B,37.91,0.929,ok
DEV-C,35.59,0.223,ok
DEV-C,40.67,1.387,ok
DEV-B,58.1,0.812,ok
DEV-C,36.37,0.66,ok
DEV-B,31.61,0.131,ok
DEV-A,45.71,0.057,ok
DEV-C,38.35,1.028,ok
DEV-A,41.43,0.083,ok
DEV-D,44.11,1.532,fault
DEV-C,41.79,0.196,ok
DEV-C,40.69,0.02,ok
DEV-C,37.54,0.33,ok
DEV-E,45.81,1.41,ok
DEV-B,44.38,0.802,ok
DEV-D,42.25,0.281,ok
DEV-C,50.42,1.606,fault
DEV-E,54.62,1.139,ok
DEV-C,37.2,0.528,ok
DEV-D,50.03,1.664,fault
DEV-D,32.56,1.329,ok
DEV-E,33.79,1.118,ok
DEV-C,46.5,0.215,ok
DEV-E,42.91,2.228,fault
DEV-E,40.18,0.611,ok
DEV-C,48.53,0.466,ok
DEV-D,40.27,0.24,ok
DEV-C,52.71,1.596,fault
DEV-E,46.53,0.783,ok
DEV-C,39.65,2.407,fault
DEV-A,40.2,0.264,ok
DEV-D,34.78,0.281,ok
DEV-D,40.32,0.22,ok
DEV-D,41.89,0.941,ok
DEV-A,40.01,1.113,ok
DEV-A,25.42,0.076,ok
DEV-C,36.47,0.682,ok
DEV-D,23.48,0.569,ok
DEV-C,45.0,1.162,ok
DEV-A,42.86,0.588,ok
DEV-A,49.8,0.148,ok
DEV-B,47.13,0.022,ok
DEV-D,43.2,0.455,ok
DEV-D,43.37,0.734,ok
DEV-D,41.23,0.116,ok
DEV-D,35.7,0.026,ok
DEV-C,36.78,0.085,ok
DEV-C,48.67,0.501,ok
DEV-C,36.37,0.612,ok
DEV-A,28.72,0.834,ok
DEV-E,36.87,0.558,ok
DEV-E,41.53,0.322,ok
DEV-B,50.54,2.229,fault
DEV-E,32.59,0.562,ok
DEV-D,47.16,1.275,ok
DEV-E,42.16,0.565,ok
DEV-A,41.05,1.618,fault
DEV-E,35.66,0.377,ok
DEV-B,34.67,2.083,fault
DEV-C,41.49,0.568,ok
DEV-E,42.23,0.519,ok
DEV-D,55.19,1.771,fault
DEV-A,41.89,0.281,ok
DEV-E,45.01,0.58,ok
DEV-C,43.14,1.28,ok
DEV-C,55.64,1.213,ok
DEV-D,37.25,0.879,ok
DEV-A,33.74,0.163,ok
DEV-C,47.11,0.093,ok
DEV-C,46.84,0.396,ok
DEV-A,41.72,0.572,ok
DEV-D,49.8,0.016,ok
DEV-B,30.14,1.438,ok
DEV-E,52.1,1.064,ok
DEV-B,33.03,0.213,ok
DEV-B,32.78,0.119,ok
DEV-B,31.59,0.66,ok
DEV-D,42.33,0.501,ok
DEV-A,44.09,1.581,fault
DEV-D,38.33,0.644,ok
DEV-B,40.1,0.633,ok
DEV-C,47.14,0.405,ok
DEV-A,35.97,0.854,ok
DEV-C,36.61,0.29,ok
DEV-E,43.9,0.582,ok
DEV-A,38.56,0.171,ok
DEV-E,56.39,2.265,fault
DEV-A,54.42,1.21,ok
DEV-E,49.27,1.306,ok
DEV-C,35.77,1.45,ok
DEV-C,50.52,1.172,ok
DEV-D,41.49,1.032,ok
DEV-A,39.51,0.366,ok
DEV-A,60.98,1.744,fault
DEV-B,49.16,0.598,ok
DEV-B,46.03,2.07,fault
DEV-C,42.81,0.359,ok
DEV-D,40.41,0.409,ok
DEV-A,40.92,1.23,ok
DEV-C,31.15,0.051,ok
DEV-B,43.88,0.146,ok
DEV-E,44.98,0.528,ok
DEV-D,55.48,1.614,fault
DEV-C,44.05,0.191,ok
DEV-C,47.7,0.112,ok
DEV-D,36.65,0.649,ok
DEV-E,35.76,0.965,ok
DEV-E,44.5,0.449,ok
DEV-A,39.35,0.617,ok
DEV-C,32.94,0.186,ok
DEV-B,32.64,1.698,fault
DEV-C,44.74,0.208,ok
DEV-A,45.96,2.406,fault
DEV-B,36.45,1.051,ok
DEV-D,46.53,0.131,ok
DEV-E,38.92,0.352,ok
DEV-D,39.97,0.651,ok
DEV-A,41.43,1.179,ok
DEV-A,50.38,0.874,ok
DEV-E,48.43,0.026,ok
DEV-B,40.78,1.319,ok
DEV-C,40.92,0.47,ok
DEV-B,40.28,2.812,fault
DEV-E,32.83,1.908,fault
DEV-C,35.76,0.115,ok
DEV-C,50.22,2.124,fault
DEV-D,52.54,0.924,ok
DEV-B,47.8,0.67,ok
DEV-E,28.65,1.853,fault
DEV-D,44.0,0.313,ok
DEV-B,35.25,0.753,ok
DEV-C,52.36,2.368,fault
DEV-A,44.27,0.147,ok
DEV-D,34.04,0.298,ok
DEV-C,48.99,0.192,ok
DEV-C,34.36,0.302,ok
DEV-A,36.13,0.589,ok
DEV-B,40.43,0.608,ok
DEV-B,41.44,2.036,fault
DEV-C,30.23,0.423,ok
DEV-B,32.24,0.069,ok
DEV-D,36.06,0.159,ok
DEV-D,47.46,0.476,ok
DEV-E,37.84,1.214,ok
DEV-C,42.96,0.838,ok
DEV-D,42.5,1.468,ok
DEV-D,46.28,0.289,ok
DEV-E,52.91,1.221,ok
DEV-E,27.67,0.091,ok
DEV-E,32.49,0.29,ok
DEV-E,45.42,0.051,ok
DEV-E,41.77,1.352,ok
DEV-D,47.06,0.527,ok
DEV-A,44.51,0.515,ok
DEV-D,44.53,1.546,fault
DEV-E,31.95,0.617,ok
DEV-D,33.28,0.537,ok
DEV-B,47.39,0.345,ok
DEV-C,48.77,2.619,fault
DEV-B,46.21,0.3,ok
DEV-A,36.01,0.207,ok
DEV-A,70.82,1.283,ok
DEV-D,44.86,1.258,ok
DEV-E,34.86,0.192,ok
DEV-E,30.04,0.15,ok
DEV-C,52.12,3.117,fault
DEV-B,34.27,0.449,ok
DEV-D,42.01,1.18,ok
DEV-B,39.04,1.24,ok
DEV-D,30.43,4.516,fault
DEV-E,38.19,0.167,ok
DEV-A,41.22,1.091,ok
DEV-D,49.68,2.535,fault
DEV-D,36.85,1.086,ok
DEV-B,57.24,0.913,ok
DEV-C,30.62,0.3,ok
DEV-B,40.65,0.209,ok
DEV-B,42.18,0.075,ok
DEV-D,35.58,0.163,ok
DEV-E,36.75,0.091,ok
DEV-A,53.28,0.843,ok
DEV-E,52.82,1.053,ok
DEV-B,48.49,4.44,fault
DEV-B,37.16,1.175,ok
DEV-C,56.24,1.177,ok
DEV-A,39.65,0.199,ok
DEV-C,47.95,1.142,ok
DEV-B,41.09,0.002,ok
DEV-B,48.53,0.322,ok
DEV-C,34.98,0.018,ok
DEV-D,42.45,1.428,ok
DEV-C,39.3,0.203,ok
DEV-D,37.72,0.105,ok
DEV-C,31.54,0.744,ok
DEV-D,47.24,0.661,ok
DEV-A,48.12,0.646,ok
DEV-B,48.32,1.028,ok
DEV-E,61.46,0.989,ok
DEV-D,46.14,0.016,ok
DEV-D,29.67,0.428,ok
DEV-C,49.35,0.226,ok
DEV-A,51.05,1.177,ok
DEV-B,52.4,0.841,ok
DEV-D,41.81,0.583,ok
DEV-B,47.83,0.084,ok
DEV-E,42.33,0.614,ok
DEV-D,49.96,0.454,ok
DEV-E,42.61,0.129,ok
DEV-B,38.97,0.125,ok
DEV-B,38.65,0.204,ok
DEV-A,42.13,0.61,ok
DEV-C,46.92,0.803,ok
DEV-B,32.09,3.44,fault
DEV-B,40.15,0.902,ok
DEV-C,28.81,0.337,ok
DEV-D,49.31,0.331,ok
DEV-D,20.53,2.417,fault
DEV-D,36.23,0.26,ok
DEV-E,44.66,0.395,ok
DEV-E,44.63,0.158,ok
DEV-A,41.15,0.25,ok
DEV-A,37.03,0.115,ok
DEV-C,46.37,0.968,ok
DEV-A,37.63,1.494,ok
DEV-C,59.67,3.815,fault
DEV-C,47.19,0.181,ok
DEV-B,37.22,0.169,ok
DEV-B,31.48,0.044,ok
DEV-C,41.54,0.271,ok
DEV-C,45.13,0.497,ok
DEV-D,49.62,0.863,ok
DEV-A,44.05,0.102,ok
DEV-D,27.62,0.976,ok
DEV-B,41.34,0.536,ok
DEV-D,44.88,0.928,ok
DEV-E,39.31,0.602,ok
DEV-D,38.23,0.314,ok
DEV-B,41.67,0.503,ok
DEV-A,39.4,3.241,fault
DEV-D,42.4,2.221,fault
DEV-A,51.96,1.991,fault
DEV-B,60.49,3.342,fault
DEV-E,45.68,2.613,fault
DEV-D,62.8,0.81,ok
DEV-D,46.98,0.735,ok
DEV-C,48.95,0.284,ok
DEV-B,40.57,0.264,ok
DEV-A,20.44,1.056,ok
DEV-C,40.81,0.166,ok
DEV-B,38.54,0.245,ok
DEV-D,44.45,0.135,ok
DEV-C,57.97,1.242,ok
DEV-D,40.44,0.169,ok
DEV-C,45.06,0.132,ok
DEV-C,38.25,1.295,ok
DEV-E,33.76,1.59,fault
DEV-E,38.19,0.031,ok
DEV-E,51.95,0.998,ok
DEV-B,33.46,0.287,ok
DEV-D,40.7,0.155,ok
DEV-B,53.3,1.108,ok
DEV-C,43.5,1.955,fault
DEV-D,49.88,0.807,ok
DEV-E,29.79,0.183,ok
DEV-A,42.27,0.219,ok
DEV-A,42.26,0.825,ok
DEV-C,56.17,1.645,fault
DEV-D,58.36,2.226,fault
DEV-D,43.28,1.988,fault
DEV-A,42.16,0.187,ok
DEV-B,43.48,1.262,ok
DEV-E,44.49,0.055,ok
DEV-A,41.06,0.819,ok
DEV-B,27.8,0.98,ok
DEV-A,39.06,0.475,ok
DEV-E,40.58,0.102,ok
DEV-A,33.85,1.183,ok
DEV-C,43.31,1.038,ok
DEV-D,47.95,0.09,ok
DEV-A,44.23,0.11,ok
DEV-B,44.88,1.038,ok
DEV-E,44.5,0.18,ok
DEV-A,53.36,1.849,fault
DEV-B,37.91,0.377,ok
DEV-E,41.23,0.002,ok
DEV-E,50.94,1.354,ok
DEV-A,51.21,1.758,fault
DEV-A,46.43,2.127,fault
DEV-D,58.45,1.184,ok
DEV-D,29.91,0.611,ok
DEV-E,37.14,0.723,ok
DEV-D,39.39,0.779,ok
DEV-A,51.2,0.814,ok
DEV-A,36.3,0.04,ok
DEV-D,20.2,0.484,ok
DEV-E,41.18,0.257,ok
DEV-C,33.97,0.19,ok
DEV-C,39.34,0.152,ok
DEV-C,36.35,0.748,ok
DEV-B,47.39,0.11,ok
DEV-C,55.84,1.444,ok
DEV-E,42.15,0.16,ok
DEV-B,44.81,0.636,ok
DEV-B,45.72,0.78,ok
DEV-D,40.05,1.036,ok
DEV-B,41.63,1.793,fault
DEV-D,41.95,0.094,ok
DEV-C,34.54,0.147,ok
DEV-B,49.71,0.365,ok
DEV-B,39.06,0.528,ok
DEV-B,43.77,0.437,ok
DEV-C,47.08,2.218,fault
DEV-B,35.67,0.851,ok
DEV-C,38.96,0.107,ok
DEV-B,61.75,0.82,ok
DEV-E,45.78,0.918,ok
DEV-B,28.96,1.912,fault
DEV-B,29.88,0.182,ok
DEV-E,37.52,0.253,ok
DEV-B,42.59,0.106,ok
DEV-D,42.51,0.409,ok
DEV-A,50.36,1.081,ok
DEV-C,27.04,0.503,ok
DEV-B,45.86,0.21,ok
DEV-E,38.58,0.321,ok
DEV-A,57.79,1.141,ok
DEV-C,44.0,0.842,ok
DEV-A,37.77,0.03,ok
DEV-D,43.56,0.364,ok
DEV-A,40.58,0.709,ok
DEV-B,31.68,0.04,ok
DEV-C,44.62,0.926,ok
DEV-D,36.6,0.067,ok
DEV-E,38.17,3.062,fault
DEV-B,48.73,0.941,ok
DEV-B,28.95,0.105,ok
DEV-E,40.87,0.224,ok
DEV-E,48.67,1.43,ok
DEV-C,47.12,0.271,ok
DEV-E,30.78,1.676,fault
DEV-A,43.25,0.178,ok
DEV-B,46.49,0.379,ok
DEV-C,42.46,0.175,ok
DEV-B,45.66,0.714,ok
DEV-D,41.16,0.384,ok
DEV-E,39.97,1.56,fault
DEV-B,44.37,0.642,ok
DEV-A,42.18,0.159,ok
DEV-C,31.07,1.068,ok
DEV-D,34.58,0.886,ok
DEV-E,49.77,1.219,ok
DEV-A,50.18,0.819,ok
DEV-C,45.12,0.546,ok
DEV-D,41.57,1.24,ok
DEV-A,36.35,0.059,ok
DEV-C,45.65,0.181,ok
DEV-D,43.09,1.138,ok
DEV-C,37.96,0.357,ok
DEV-A,43.58,0.031,ok
DEV-E,61.06,0.889,ok
DEV-E,41.64,0.52,ok
DEV-E,23.85,5.287,fault
DEV-C,34.92,2.263,fault
DEV-B,50.92,1.204,ok
DEV-E,38.7,0.139,ok
DEV-A,46.8,0.713,ok
DEV-D,42.58,0.034,ok
DEV-B,49.84,0.44,ok
DEV-B,27.36,0.274,ok
DEV-A,34.74,1.297,ok
DEV-C,40.05,0.021,ok
DEV-B,43.57,0.31,ok
DEV-B,47.65,0.97,ok
DEV-B,31.19,0.221,ok
DEV-C,37.58,0.285,ok
DEV-A,44.64,0.933,ok
DEV-B,40.77,0.538,ok
DEV-E,49.34,0.097,ok
DEV-A,41.02,0.433,ok
DEV-E,35.04,0.108,ok
DEV-E,51.85,1.634,fault
DEV-B,47.25,0.504,ok
DEV-C,40.01,0.035,ok
DEV-D,43.83,0.014,ok
DEV-A,41.48,0.059,ok
DEV-D,38.69,0.701,ok
DEV-E,42.55,0.949,ok
DEV-A,42.2,1.057,ok
DEV-E,42.14,0.19,ok
DEV-D,40.07,0.255,ok
DEV-A,38.16,0.754,ok
DEV-C,42.73,0.46,ok
DEV-A,51.01,2.111,fault
DEV-C,40.03,0.382,ok
DEV-E,34.6,0.183,ok
DEV-E,22.37,0.364,ok
DEV-D,30.33,0.517,ok
DEV-A,45.71,0.481,ok
DEV-A,43.53,0.027,ok
DEV-D,37.59,0.385,ok
DEV-D,42.88,1.215,ok
DEV-C,42.06,0.218,ok
DEV-A,48.28,0.946,ok
DEV-D,40.75,0.037,ok
DEV-C,48.58,0.613,ok
DEV-A,36.23,0.207,ok
DEV-A,40.69,0.028,ok
DEV-E,47.71,0.867,ok
DEV-C,46.75,1.066,ok
DEV-C,49.08,0.533,ok
DEV-B,45.61,0.659,ok
DEV-A,37.44,0.094,ok
DEV-B,35.71,1.035,ok
DEV-E,61.24,1.449,ok
DEV-B,32.88,0.296,ok
DEV-C,39.63,0.306,ok
DEV-D,50.11,1.061,ok
DEV-E,33.79,0.017,ok
DEV-B,44.71,1.871,fault
DEV-D,47.41,0.892,ok
DEV-D,56.07,0.816,ok
DEV-A,59.03,1.091,ok
DEV-A,18.76,0.28,ok
DEV-B,56.87,1.471,ok
DEV-E,46.61,0.23,ok
DEV-C,39.67,0.021,ok
DEV-D,37.51,0.227,ok
DEV-C,33.64,1.212,ok
DEV-C,32.68,1.181,ok
DEV-C,28.55,0.45,ok
DEV-B,37.6,0.29,ok
DEV-E,29.48,0.742,ok
DEV-D,42.78,0.605,ok
DEV-D,42.83,0.155,ok
DEV-E,39.61,0.602,ok
DEV-E,34.53,0.716,ok
DEV-A,46.68,0.439,ok
DEV-B,28.86,0.022,ok
DEV-D,55.43,3.345,fault
DEV-E,57.83,1.963,fault
DEV-C,35.94,0.317,ok
DEV-C,52.53,1.888,fault
DEV-B,38.36,0.052,ok
DEV-C,34.58,0.132,ok
DEV-A,53.51,1.027,ok
DEV-A,50.07,1.501,fault
DEV-B,50.19,1.113,ok
DEV-E,31.0,0.169,ok
DEV-C,38.67,0.982,ok
DEV-D,52.46,1.007,ok
DEV-E,47.9,0.554,ok
DEV-C,51.72,1.169,ok
DEV-C,38.29,0.069,ok
DEV-E,44.48,0.181,ok
DEV-B,23.42,2.655,fault
DEV-C,30.66,0.109,ok
DEV-E,50.2,2.171,fault
DEV-C,41.43,1.115,ok
DEV-E,33.48,1.169,ok
DEV-A,31.86,0.591,ok
DEV-A,47.75,0.135,ok
DEV-B,32.41,1.415,ok
DEV-D,49.78,2.397,fault
DEV-E,36.62,0.658,ok
DEV-D,35.29,0.11,ok
DEV-A,53.67,1.095,ok
DEV-C,28.83,0.3,ok
DEV-C,45.42,0.555,ok
DEV-B,50.05,1.116,ok
DEV-B,48.53,0.8,ok
DEV-C,37.48,1.325,ok
DEV-A,43.97,0.113,ok
DEV-B,42.77,0.34,ok
DEV-D,50.84,1.078,ok
DEV-D,34.73,1.421,ok
DEV-E,27.21,1.479,ok
DEV-E,44.49,0.531,ok
DEV-B,46.02,0.119,ok
DEV-A,35.07,0.138,ok
DEV-A,46.93,0.451,ok
DEV-D,48.41,0.485,ok
DEV-A,46.01,0.556,ok
DEV-D,35.54,1.57,fault
DEV-A,38.84,0.584,ok
DEV-C,34.92,1.413,ok
DEV-B,49.13,1.074,ok
DEV-B,37.74,0.138,ok
DEV-D,55.23,1.161,ok
DEV-B,39.2,0.597,ok
DEV-A,51.49,1.552,fault
DEV-C,48.46,0.803,ok
DEV-E,54.9,0.961,ok
DEV-E,44.42,0.183,ok
DEV-B,49.15,0.045,ok
DEV-A,40.76,0.132,ok
DEV-B,37.64,0.491,ok
DEV-A,56.04,1.253,ok
DEV-A,36.6,0.174,ok
DEV-B,33.4,0.043,ok
DEV-B,29.86,0.781,ok
DEV-A,41.57,0.431,ok
DEV-C,40.19,1.251,ok
DEV-B,48.58,0.647,ok
DEV-B,54.41,0.931,ok
DEV-E,43.2,0.545,ok
DEV-D,50.21,0.874,ok
DEV-D,27.74,0.433,ok
DEV-C,43.46,1.343,ok
DEV-E,32.57,0.752,ok
DEV-D,47.06,0.106,ok
DEV-A,44.13,0.001,ok
DEV-E,50.63,0.837,ok
DEV-B,39.77,0.163,ok
DEV-D,41.03,0.574,ok
DEV-D,42.46,0.015,ok
DEV-A,21.63,0.56,ok
DEV-D,40.47,0.006,ok
DEV-D,41.02,0.23,ok
DEV-E,38.05,0.226,ok
DEV-B,46.3,0.772,ok
DEV-B,32.75,0.033,ok
DEV-A,45.83,0.248,ok
DEV-A,28.9,0.096,ok
DEV-C,43.85,0.113,ok
DEV-E,43.68,0.203,ok
DEV-A,25.97,0.297,ok
DEV-E,51.88,1.0,ok
DEV-E,35.22,0.01,ok
DEV-B,37.25,0.209,ok
DEV-C,38.89,0.275,ok
DEV-B,48.93,0.586,ok
DEV-E,40.5,2.57,fault
DEV-A,37.52,0.084,ok
DEV-A,36.04,0.89,ok
DEV-C,29.18,1.23,ok
DEV-D,35.23,0.441,ok
DEV-C,46.76,1.196,ok
DEV-D,48.48,1.347,ok
DEV-E,43.11,0.8,ok
DEV-D,46.25,0.093,ok
DEV-B,43.71,0.374,ok
DEV-E,50.08,1.186,ok
DEV-C,50.89,1.758,fault
DEV-A,24.46,0.518,ok
DEV-B,39.45,0.281,ok
DEV-C,53.53,2.262,fault
DEV-D,46.15,0.527,ok
DEV-D,45.77,0.09,ok
DEV-A,35.21,0.125,ok
DEV-C,31.16,0.81,ok
DEV-B,35.02,1.362,ok
DEV-C,40.44,3.719,fault
DEV-E,40.18,0.638,ok
DEV-E,56.22,0.917,ok
DEV-A,37.62,0.639,ok
DEV-D,48.87,0.245,ok
DEV-E,41.36,0.142,ok
DEV-B,48.67,1.299,ok
DEV-A,41.61,0.432,ok
DEV-C,37.22,0.028,ok
DEV-A,53.42,1.391,ok
DEV-D,45.19,0.511,ok
DEV-B,36.32,0.812,ok
DEV-A,40.45,0.534,ok
DEV-E,48.91,1.004,ok
DEV-D,46.43,0.089,ok
DEV-B,44.06,0.025,ok
DEV-B,42.8,0.513,ok
DEV-A,47.49,0.64,ok
DEV-B,45.75,0.157,ok
DEV-E,31.59,0.936,ok
DEV-B,50.63,1.291,ok
DEV-D,41.31,0.971,ok
DEV-B,44.42,0.205,ok
DEV-C,55.04,0.817,ok
DEV-E,29.08,0.652,ok
DEV-A,52.37,1.183,ok
DEV-A,41.13,0.612,ok
DEV-C,27.33,0.878,ok
DEV-A,39.9,0.062,ok
DEV-A,30.29,0.68,ok
DEV-D,53.22,2.134,fault
DEV-E,29.75,0.433,ok
DEV-E,47.14,0.709,ok
DEV-D,48.28,0.462,ok
DEV-E,50.66,0.893,ok
DEV-E,58.28,1.869,fault
DEV-B,34.14,0.103,ok
DEV-D,39.73,0.461,ok
DEV-E,36.82,0.314,ok
DEV-B,45.25,0.346,ok
DEV-B,29.93,0.359,ok
DEV-C,38.75,1.058,ok
DEV-A,29.09,0.122,ok
DEV-A,42.97,0.686,ok
DEV-E,45.45,1.909,fault
DEV-C,39.72,0.24,ok
DEV-D,46.15,0.149,ok
DEV-E,52.21,1.064,ok
DEV-E,50.83,1.131,ok
DEV-B,36.36,0.61,ok
DEV-C,48.63,0.441,ok
DEV-B,35.17,0.97,ok
DEV-D,31.62,1.516,fault
DEV-A,35.87,0.013,ok
DEV-E,39.64,1.651,fault
DEV-D,64.55,2.632,fault
DEV-B,52.56,1.495,ok
DEV-E,43.46,0.827,ok
DEV-C,21.94,0.537,ok
DEV-B,40.12,0.14,ok
DEV-E,31.53,0.553,ok
DEV-B,42.86,0.335,ok
DEV-E,42.44,0.072,ok
DEV-A,49.64,0.083,ok
DEV-A,41.35,0.222,ok
DEV-B,45.75,0.175,ok
DEV-A,38.66,0.598,ok
DEV-B,39.48,0.359,ok
DEV-D,24.84,0.173,ok
DEV-B,45.27,0.524,ok
DEV-E,45.79,0.727,ok
DEV-D,48.27,0.688,ok
DEV-E,46.35,0.559,ok
DEV-A,43.25,0.063,ok
DEV-A,47.06,0.354,ok
DEV-D,39.35,0.259,ok
DEV-B,54.24,1.646,fault
DEV-E,32.76,0.142,ok
DEV-E,41.25,0.221,ok
DEV-D,43.52,0.105,ok
DEV-A,45.21,0.899,ok
DEV-E,54.93,1.2,ok
DEV-B,38.21,1.795,fault
DEV-A,28.53,0.75,ok
DEV-C,53.87,0.862,ok
DEV-E,40.98,1.048,ok
DEV-A,51.74,1.562,fault
DEV-A,46.43,0.2,ok
DEV-D,34.92,0.138,ok
DEV-B,38.88,0.079,ok
DEV-D,55.57,1.159,ok
DEV-E,52.21,1.188,ok
DEV-A,38.69,0.099,ok
DEV-C,52.92,1.548,fault
DEV-D,42.49,3.191,fault
DEV-C,38.7,0.15,ok
DEV-A,38.72,1.443,ok
DEV-E,41.85,0.947,ok
DEV-D,47.25,0.771,ok
DEV-B,37.79,0.136,ok
DEV-E,57.94,3.624,fault
DEV-B,41.07,0.178,ok
DEV-A,45.78,0.71,ok
DEV-D,48.97,0.033,ok
DEV-D,48.31,0.278,ok
DEV-C,52.56,1.652,fault
DEV-C,33.0,0.394,ok
DEV-A,40.97,0.056,ok
DEV-A,49.26,0.606,ok
DEV-D,38.93,1.3,ok
DEV-A,39.29,0.216,ok
DEV-A,34.72,1.557,fault
