region,unit_price_kron,units_sold,discount_frac,revenue_kron
Aurelia,37.03,4,0.562,64.88
Borvik,106.05,10,0.184,865.37
Cyndara,86.72,9,0.137,673.55
Drostal,53.28,3,0.095,144.66
Aurelia,24.08,1,0.081,22.13
Aurelia,97.11,9,0.337,579.46
Borvik,5.05,0,0.304,0.0
Aurelia,55.24,5,0.476,144.73
Borvik,76.88,7,0.469,285.76
Drostal,35.45,9,0.191,258.11
Cyndara,19.34,4,0.357,49.74
Aurelia,41.31,3,0.414,72.62
Borvik,37.06,4,0.438,83.31
Borvik,29.3,3,0.364,55.9
Borvik,65.87,2,0.355,84.97
Drostal,79.52,3,0.224,185.12
Aurelia,168.13,10,0.278,1213.9
Borvik,51.09,5,0.209,202.06
Aurelia,24.48,2,0.126,42.79
Aurelia,55.5,5,0.63,102.68
Aurelia,96.53,5,0.352,312.76
Drostal,37.66,5,0.389,115.05
Aurelia,65.55,5,0.112,291.04
Aurelia,10.28,1,0.191,8.32
Borvik,38.73,5,0.053,183.39
Borvik,10.71,0,0.087,0.0
Drostal,101.32,11,0.275,808.03
Aurelia,32.59,4,0.178,107.16
Borvik,99.05,6,0.497,298.93
Drostal,38.1,2,,54.56
Aurelia,41.05,5,0.34,135.46
Borvik,26.26,3,0.605,31.12
Borvik,3.11,0,0.581,0.0
Drostal,32.04,2,0.368,40.5
Aurelia,24.54,5,0.224,95.22
Aurelia,64.44,7,0.08,414.99
Aurelia,27.8,3,0.346,54.54
Aurelia,49.25,5,0.296,173.36
Aurelia,34.84,2,0.115,61.67
Borvik,92.35,9,0.396,502.01
Aurelia,79.86,9,0.231,552.71
Cyndara,17.0,0,0.215,0.0
Borvik,73.62,4,0.753,72.74
Aurelia,58.34,7,0.176,336.51
Aurelia,112.16,8,0.121,788.71
Aurelia,23.41,1,0.351,15.19
Aurelia,9.66,1,0.369,6.1
Aurelia,25.58,5,0.503,63.57
Aurelia,80.43,10,0.121,706.98
Borvik,23.15,2,0.174,38.24
Borvik,26.63,5,0.238,101.46
Cyndara,77.58,9,0.243,528.55
Aurelia,53.58,5,0.382,165.56
Borvik,36.52,3,0.271,79.87
Aurelia,9.81,4,,37.63
Cyndara,77.23,6,0.41,273.39
Borvik,15.43,2,0.379,19.16
Drostal,72.3,12,,714.9
Cyndara,42.69,7,0.209,236.37
Aurelia,49.13,3,0.427,84.45
Drostal,40.47,4,0.436,91.3
Aurelia,71.67,6,0.05,408.52
Borvik,8.54,2,0.451,9.38
Borvik,40.73,4,0.118,143.7
Drostal,88.66,8,0.292,502.17
Borvik,45.34,4,0.287,129.31
Borvik,89.06,9,0.237,611.58
Aurelia,54.37,3,0.126,142.56
Cyndara,19.12,3,0.641,20.59
Cyndara,33.0,5,0.14,141.9
Borvik,93.94,15,0.069,1311.87
Cyndara,18.37,2,0.321,24.95
Aurelia,25.58,6,,98.07
Cyndara,78.54,5,0.209,310.63
Aurelia,17.38,1,0.155,14.69
Drostal,27.52,4,0.672,36.11
Drostal,19.75,3,0.085,54.21
Cyndara,19.23,0,0.264,0.0
Aurelia,57.61,5,0.452,157.85
Drostal,63.8,6,0.367,242.31
Aurelia,38.59,3,0.265,85.09
Drostal,26.08,3,0.147,66.74
Cyndara,62.01,5,0.456,168.67
Aurelia,55.65,3,0.124,146.25
Aurelia,30.42,8,,193.23
Aurelia,8.71,1,0.557,3.86
Aurelia,65.17,7,0.115,403.73
Aurelia,56.98,6,0.088,311.79
Cyndara,27.99,4,0.011,110.73
Aurelia,29.37,1,0.215,23.06
Borvik,75.86,3,0.298,159.76
Aurelia,44.96,4,0.402,107.54
Cyndara,20.03,6,0.193,96.99
Drostal,36.55,3,0.474,57.68
Cyndara,88.26,8,0.318,481.55
Aurelia,44.43,3,,120.36
Aurelia,52.78,5,0.297,185.52
Cyndara,56.14,6,0.2,269.47
Borvik,70.59,7,0.195,397.77
Borvik,4.19,0,0.332,0.0
Cyndara,24.23,3,0.537,33.66
Cyndara,6.01,0,0.203,0.0
Aurelia,19.13,1,0.402,11.44
Cyndara,150.05,15,0.348,1467.49
Cyndara,11.62,1,0.088,10.6
Aurelia,21.95,4,0.299,61.55
Cyndara,54.76,9,0.46,266.13
Aurelia,39.8,8,0.412,187.22
Aurelia,63.19,9,0.144,486.82
Cyndara,44.64,5,0.128,194.63
Borvik,60.86,4,0.492,123.67
Aurelia,47.19,6,0.09,257.66
Aurelia,0.95,0,0.207,0.0
Borvik,61.76,5,0.515,149.77
Aurelia,19.89,1,0.355,12.83
Borvik,216.0,22,0.08,4371.84
Aurelia,42.86,9,0.047,367.61
Aurelia,80.17,12,0.16,808.11
Aurelia,114.26,16,0.275,1325.42
Cyndara,19.0,2,0.216,29.79
Borvik,17.04,2,0.077,31.46
Drostal,18.66,1,0.278,13.47
Aurelia,55.48,6,0.078,306.92
Aurelia,9.01,0,0.41,0.0
Borvik,87.77,6,0.676,170.62
Borvik,44.86,5,0.247,168.9
Aurelia,67.33,4,0.135,232.96
Borvik,52.2,6,0.603,124.34
Aurelia,122.2,14,0.309,1182.16
Aurelia,49.96,6,0.153,253.9
Aurelia,44.84,4,0.487,92.01
Aurelia,41.4,5,0.07,192.51
Borvik,2.54,0,0.103,0.0
Aurelia,72.6,9,0.135,565.19
Aurelia,51.74,3,0.384,95.62
Borvik,47.65,8,0.517,184.12
Borvik,112.56,11,0.058,1166.35
Borvik,84.67,6,0.39,309.89
Aurelia,31.46,5,0.338,104.13
Borvik,51.8,2,0.412,60.92
Borvik,77.23,14,0.476,566.56
Aurelia,73.34,8,0.218,458.82
Cyndara,26.09,3,0.302,54.63
Drostal,24.41,3,0.128,63.86
Borvik,38.19,0,0.109,0.0
Cyndara,20.66,2,0.259,30.62
Drostal,41.35,4,0.167,137.78
Aurelia,6.92,0,0.62,0.0
Aurelia,6.37,3,0.262,14.1
Cyndara,100.97,13,0.238,1000.21
Cyndara,28.78,5,0.072,133.54
Aurelia,34.58,5,0.458,93.71
Aurelia,13.76,3,0.181,33.81
Drostal,46.38,2,0.45,51.02
Borvik,67.26,4,0.473,141.78
Borvik,62.02,5,0.3,217.07
Borvik,54.34,5,0.676,88.03
Borvik,144.98,18,0.443,1453.57
Aurelia,35.38,5,,141.87
Borvik,25.24,4,0.209,79.86
Aurelia,20.11,3,0.4,36.2
Cyndara,84.43,15,0.174,1046.09
Cyndara,18.48,4,0.5,36.96
Aurelia,71.17,8,0.04,546.59
Borvik,92.32,10,0.183,754.25
Cyndara,82.12,10,0.499,411.42
Cyndara,12.56,0,0.176,0.0
Borvik,87.62,11,0.295,679.49
Drostal,46.07,4,0.432,104.67
Aurelia,72.63,13,0.491,480.59
Cyndara,16.93,3,0.38,31.49
Aurelia,34.6,1,0.375,21.62
Borvik,39.51,1,0.256,29.4
Drostal,125.11,7,0.702,260.98
Cyndara,20.87,2,0.23,32.14
Cyndara,16.26,2,0.252,24.32
Drostal,46.65,8,0.216,292.59
Cyndara,88.66,4,0.073,328.75
Borvik,43.59,5,0.367,137.96
Aurelia,69.66,7,0.071,453.0
Cyndara,107.09,16,0.041,1643.19
Cyndara,47.0,5,0.317,160.51
Cyndara,52.25,1,,21.27
Aurelia,51.75,6,0.086,283.8
Cyndara,34.94,5,0.274,126.83
Borvik,33.07,2,0.599,26.52
Aurelia,53.31,6,,260.05
Cyndara,19.59,0,0.142,0.0
Drostal,45.63,4,0.324,123.38
Aurelia,43.86,4,0.192,141.76
Aurelia,110.64,11,0.196,978.5
Cyndara,73.53,7,0.323,348.46
Aurelia,62.99,6,0.245,285.34
Borvik,69.7,7,,274.69
Aurelia,53.18,8,0.073,394.38
Drostal,12.9,1,0.304,8.98
Borvik,30.74,2,0.574,26.19
Borvik,18.15,1,0.495,9.17
Cyndara,54.54,7,0.245,288.24
Drostal,45.22,6,0.171,224.92
Aurelia,58.55,6,0.095,317.93
Borvik,33.63,0,0.108,0.0
Cyndara,57.1,7,0.099,360.13
Drostal,14.56,3,0.332,29.18
Borvik,25.22,3,0.316,51.75
Borvik,62.04,5,0.399,186.43
Aurelia,68.07,8,0.443,303.32
Drostal,59.13,8,0.272,344.37
Borvik,135.9,19,0.254,1926.25
Cyndara,76.44,5,0.199,306.14
Borvik,20.2,1,0.162,16.93
Cyndara,28.24,1,0.159,23.75
Aurelia,68.36,3,0.167,170.83
Aurelia,17.71,3,0.327,35.76
Cyndara,88.5,7,0.295,436.75
Borvik,28.25,3,0.351,55.0
Aurelia,172.98,21,0.2,2906.06
Aurelia,99.1,11,0.144,933.13
Aurelia,24.4,1,0.12,21.47
Borvik,49.35,4,0.533,92.19
Aurelia,15.31,2,0.107,27.34
Borvik,40.12,4,0.159,134.96
Drostal,19.43,2,0.273,28.25
Cyndara,45.01,4,0.117,158.98
Borvik,17.89,0,0.309,0.0
Cyndara,52.96,5,0.083,242.82
Drostal,20.63,2,0.616,15.84
Aurelia,41.61,4,0.212,131.15
Borvik,43.07,5,0.64,77.53
Cyndara,56.43,6,0.452,185.54
Borvik,15.73,3,0.55,21.24
Aurelia,26.8,4,0.175,88.44
Cyndara,118.47,11,0.189,1056.87
Borvik,95.76,12,0.379,713.6
Drostal,59.8,4,0.016,235.37
Borvik,24.13,3,0.371,45.53
Drostal,83.7,9,,618.46
Aurelia,27.31,2,0.117,48.23
Borvik,46.64,5,0.141,200.32
Aurelia,50.03,8,0.231,307.78
Aurelia,21.28,4,0.117,75.16
Aurelia,21.11,4,0.624,31.75
Cyndara,81.06,5,0.101,364.36
Cyndara,173.16,16,0.261,2047.44
Aurelia,14.99,2,0.086,27.4
Aurelia,32.14,4,0.329,86.26
Cyndara,2.83,0,0.414,0.0
Cyndara,65.37,6,0.296,276.12
Aurelia,43.71,2,,74.39
Borvik,58.19,3,0.223,135.64
Aurelia,90.11,11,,942.64
Aurelia,23.25,2,0.368,29.39
Cyndara,9.74,0,0.274,0.0
Aurelia,93.68,14,0.189,1063.64
Aurelia,69.53,4,0.399,167.15
Cyndara,20.89,3,0.203,49.95
Aurelia,85.49,10,0.307,592.45
Aurelia,21.09,3,0.151,53.72
Aurelia,24.52,2,0.172,40.61
Aurelia,72.31,9,0.297,457.51
Aurelia,95.19,9,0.105,766.76
Cyndara,38.79,3,0.243,88.09
Borvik,11.71,1,0.306,8.13
Aurelia,21.33,0,0.139,0.0
Borvik,76.22,5,0.348,248.48
Aurelia,35.44,1,0.228,27.36
Borvik,120.48,12,0.089,1317.09
Borvik,26.49,3,0.322,53.88
Cyndara,77.57,4,0.457,168.48
Cyndara,21.77,3,0.475,34.29
Aurelia,49.35,4,0.255,147.06
Borvik,128.96,15,0.542,885.96
Cyndara,53.4,6,0.483,165.65
Aurelia,18.38,3,0.376,34.41
Borvik,21.83,3,0.176,53.96
Cyndara,35.4,2,0.549,31.93
Borvik,32.47,1,,18.8
Aurelia,21.79,1,0.511,10.66
Aurelia,35.14,2,0.474,36.97
Borvik,62.54,8,0.284,358.23
Borvik,34.35,3,0.238,78.52
Drostal,54.28,4,0.127,189.55
Borvik,66.63,6,0.355,257.86
Borvik,9.12,1,0.531,4.28
Aurelia,75.83,8,0.465,324.55
Borvik,37.66,6,0.301,157.95
Cyndara,49.4,3,0.285,105.96
Cyndara,92.82,14,0.228,1003.2
Cyndara,149.94,16,0.19,1943.22
Drostal,17.62,0,0.227,0.0
Aurelia,10.78,3,0.132,28.07
Aurelia,11.09,1,0.246,8.36
Borvik,80.18,5,0.352,259.78
Cyndara,31.29,1,0.076,28.91
Borvik,31.25,7,0.197,175.66
Cyndara,25.77,3,0.129,67.34
Borvik,15.85,1,0.355,10.22
Borvik,55.99,4,0.129,195.07
Aurelia,7.77,2,0.318,10.6
Aurelia,25.62,1,0.531,12.02
Aurelia,38.31,3,0.392,69.88
Cyndara,15.56,2,0.103,27.91
Cyndara,52.77,5,0.309,182.32
Borvik,22.57,1,0.161,18.94
Borvik,70.53,12,0.107,755.8
Cyndara,42.7,4,0.545,77.71
Aurelia,37.62,4,0.435,85.02
Cyndara,19.92,2,0.233,30.56
Aurelia,129.03,15,,1743.84
Borvik,80.89,5,0.149,344.19
Borvik,68.4,6,0.417,239.26
Cyndara,46.2,7,0.324,218.62
Aurelia,21.68,0,0.385,0.0
Aurelia,25.47,2,,42.74
Aurelia,59.62,5,0.489,152.33
Borvik,73.77,6,0.097,399.69
Borvik,43.4,5,0.656,74.65
Borvik,7.71,2,,7.93
Aurelia,15.64,3,0.201,37.49
Aurelia,18.84,1,0.491,9.59
Aurelia,52.52,6,0.232,242.01
Borvik,9.54,1,,9.08
Drostal,20.24,0,0.196,0.0
Borvik,33.4,5,0.098,150.63
Cyndara,151.51,18,0.179,2239.01
Borvik,8.86,0,0.308,0.0
Borvik,76.19,8,0.26,451.04
Borvik,26.18,2,0.232,40.21
Borvik,10.83,2,0.376,13.52
Cyndara,13.37,0,0.154,0.0
Aurelia,54.52,3,0.476,85.71
Borvik,61.52,4,0.168,204.74
Cyndara,19.07,2,0.237,29.1
Cyndara,41.32,1,0.293,29.21
Cyndara,15.62,1,0.346,10.22
Aurelia,15.96,3,0.048,45.58
Aurelia,56.91,5,0.266,208.86
Cyndara,31.7,2,0.054,59.98
Aurelia,76.45,9,,518.79
Cyndara,3.91,0,0.032,0.0
Aurelia,40.79,1,0.152,34.59
Drostal,35.95,3,0.094,97.71
Cyndara,31.86,2,0.286,45.5
Aurelia,40.76,1,0.156,34.4
Borvik,39.5,3,0.044,113.29
Aurelia,18.82,1,0.595,7.62
Aurelia,22.84,1,0.188,18.55
Cyndara,9.81,1,0.462,5.28
Borvik,27.52,4,0.459,59.55
Borvik,79.5,8,0.15,540.6
Aurelia,83.79,9,0.473,397.42
Cyndara,28.62,1,0.236,21.87
Borvik,20.14,1,0.088,18.37
Aurelia,8.14,1,0.323,5.51
Cyndara,29.76,3,0.13,77.67
Borvik,48.25,4,0.036,186.05
Aurelia,16.03,0,0.293,0.0
Drostal,55.46,5,0.417,161.67
Aurelia,60.58,8,0.193,391.1
Aurelia,42.6,6,0.5,127.8
Borvik,87.95,7,0.248,462.97
Cyndara,69.97,14,0.139,843.42
Aurelia,52.25,2,0.178,85.9
Aurelia,21.34,2,0.596,17.24
Borvik,44.81,4,0.325,120.99
Borvik,37.25,1,0.323,25.22
Borvik,85.43,10,0.116,755.2
Cyndara,36.1,2,0.054,68.3
Borvik,8.92,0,0.05,0.0
Drostal,101.86,12,0.48,635.61
Drostal,99.91,7,0.273,508.44
Borvik,20.02,3,0.101,53.99
Aurelia,136.2,15,,1779.45
Cyndara,86.73,8,0.132,602.25
Cyndara,69.06,8,0.139,475.69
Drostal,132.97,13,0.241,1312.01
Cyndara,56.32,6,0.271,246.34
Cyndara,32.48,3,0.102,87.5
Aurelia,38.39,6,0.411,135.67
Aurelia,21.9,2,0.222,34.08
Borvik,50.76,8,0.164,339.48
Aurelia,23.77,3,0.157,60.11
Cyndara,6.55,2,0.53,6.16
Aurelia,53.43,3,0.309,110.76
Aurelia,98.87,10,0.285,706.92
Aurelia,43.35,3,0.232,99.88
Drostal,77.17,7,0.258,400.82
Aurelia,21.2,3,0.249,47.76
Aurelia,80.38,8,0.416,375.54
Cyndara,42.09,6,0.352,163.65
Cyndara,44.78,7,0.254,233.84
Aurelia,107.02,6,0.264,472.6
Cyndara,45.23,2,0.25,67.84
Cyndara,91.83,9,0.141,709.94
Borvik,34.98,3,0.505,51.95
Drostal,44.2,5,0.333,147.41
Borvik,63.69,9,0.377,357.11
Aurelia,49.45,6,0.337,196.71
Borvik,40.21,4,0.222,125.13
Borvik,101.85,13,0.448,730.88
Aurelia,57.37,3,0.253,128.57
Aurelia,83.47,7,0.484,301.49
Borvik,162.39,19,0.283,2212.24
Aurelia,67.08,7,0.252,351.23
Borvik,74.74,2,0.171,123.92
Aurelia,52.19,5,0.313,179.27
Borvik,93.91,10,0.007,932.53
Aurelia,46.61,1,0.409,27.55
Borvik,84.59,8,0.345,443.25
Borvik,56.77,3,0.402,101.85
Cyndara,85.58,8,0.066,639.45
Aurelia,65.49,6,0.197,315.53
Cyndara,59.22,6,0.065,332.22
Borvik,46.5,4,0.393,112.9
Aurelia,15.28,1,0.588,6.3
Cyndara,38.25,5,0.05,181.69
Aurelia,104.18,13,0.695,413.07
Borvik,31.22,5,0.743,40.12
Aurelia,59.76,8,0.362,305.02
Aurelia,97.18,6,0.192,471.13
Drostal,21.51,2,0.383,26.54
Borvik,127.9,17,0.147,1854.68
Cyndara,35.75,3,0.287,76.47
Borvik,95.63,5,0.226,370.09
Drostal,35.96,7,0.168,209.43
Cyndara,64.64,7,0.135,391.4
Aurelia,19.8,2,,19.13
Cyndara,32.1,1,0.232,24.65
Borvik,9.93,2,,17.3
Borvik,12.31,1,0.463,6.61
Borvik,20.14,2,0.458,21.83
Aurelia,22.69,1,0.163,18.99
Aurelia,38.87,5,0.31,134.1
Cyndara,31.75,2,0.174,52.45
Aurelia,71.31,5,0.247,268.48
Borvik,26.69,1,0.253,19.94
Aurelia,39.78,8,0.218,248.86
Aurelia,4.31,0,0.019,0.0
Drostal,67.48,8,0.41,318.51
Cyndara,37.62,6,0.264,166.13
Borvik,25.03,2,0.526,23.73
Aurelia,13.47,0,0.387,0.0
Cyndara,57.69,6,0.322,234.68
Cyndara,30.98,5,0.362,98.83
Cyndara,78.62,8,0.083,576.76
Drostal,53.07,3,0.294,112.4
Aurelia,21.13,3,0.086,57.94
Drostal,28.94,1,0.199,23.18
Cyndara,91.59,12,0.116,971.59
Borvik,25.78,5,0.579,54.27
Aurelia,66.32,6,0.083,364.89
Aurelia,99.16,9,0.605,352.51
Cyndara,54.15,11,0.368,376.45
Borvik,44.87,4,0.379,111.46
Cyndara,62.01,6,0.116,328.9
Aurelia,83.5,7,0.325,394.54
Drostal,86.12,9,0.414,454.2
Drostal,128.93,14,0.322,1223.8
Aurelia,46.77,4,0.554,83.44
Aurelia,75.97,6,0.148,388.36
Borvik,80.57,10,0.422,465.69
Cyndara,53.46,4,0.224,165.94
Cyndara,57.89,4,0.16,194.51
Aurelia,46.64,4,0.064,174.62
Borvik,20.16,2,0.333,26.89
Cyndara,37.2,6,0.523,106.47
Aurelia,107.4,11,,693.48
Borvik,3.56,0,0.297,0.0
Borvik,17.25,2,0.122,30.29
Aurelia,78.07,7,0.034,527.91
Borvik,65.7,11,0.273,525.4
Cyndara,69.17,6,0.096,375.18
Aurelia,24.56,7,0.367,108.83
Aurelia,40.67,1,0.173,33.63
Drostal,45.94,4,0.244,138.92
Aurelia,80.27,8,0.226,497.03
Borvik,24.8,3,,45.76
Cyndara,16.17,2,0.367,20.47
Aurelia,26.18,1,0.11,23.3
Drostal,42.46,3,0.324,86.11
Borvik,47.54,3,0.097,128.79
Borvik,31.32,4,0.137,108.12
Drostal,69.84,7,0.266,358.84
Aurelia,26.84,5,0.243,101.59
Aurelia,14.79,1,0.286,10.56
Drostal,59.92,10,0.256,445.8
Borvik,64.88,9,0.075,540.13
Aurelia,86.38,8,0.165,577.02
Borvik,11.22,1,0.271,8.18
Cyndara,35.4,3,0.107,94.84
Aurelia,102.65,6,0.242,466.85
Borvik,22.55,0,0.231,0.0
Aurelia,35.99,3,0.472,57.01
Aurelia,24.33,5,0.179,99.87
Aurelia,20.83,2,0.204,33.16
Borvik,62.41,6,0.296,263.62
Drostal,21.86,0,0.224,0.0
Drostal,108.37,13,0.116,1245.39
Borvik,85.28,8,0.169,566.94
Borvik,4.3,0,0.051,0.0
Cyndara,126.82,8,0.265,745.7
Borvik,26.61,2,0.497,26.77
Aurelia,14.85,1,0.365,9.43
Borvik,25.57,2,0.094,46.33
Cyndara,32.21,4,0.355,83.1
Borvik,50.23,6,0.136,260.39
Aurelia,28.55,4,0.704,33.8
Aurelia,15.67,0,0.538,0.0
Aurelia,50.44,5,0.315,172.76
Aurelia,17.31,3,0.099,46.79
Aurelia,20.48,3,,56.4
Borvik,43.74,5,0.273,158.99
Borvik,74.34,7,0.264,383.0
Aurelia,53.7,8,0.285,307.16
Drostal,20.85,0,0.219,0.0
Borvik,24.17,2,0.021,47.32
Aurelia,50.63,4,0.031,196.24
Borvik,23.29,4,0.34,61.49
Aurelia,118.51,12,0.48,739.5
Aurelia,16.62,0,0.61,0.0
Aurelia,48.97,5,0.112,217.43
Aurelia,127.22,15,0.273,1387.33
Borvik,109.88,15,0.087,1504.81
Borvik,30.56,5,0.299,107.11
Aurelia,47.68,5,,152.1
Cyndara,41.51,3,0.259,92.28
Cyndara,67.22,12,0.087,736.46
Aurelia,79.99,12,0.047,914.77
Cyndara,34.58,4,0.277,100.01
Aurelia,70.29,3,0.179,173.12
Aurelia,35.66,1,0.306,24.75
Drostal,22.18,3,0.555,29.61
Aurelia,52.53,7,0.242,278.72
Aurelia,90.98,4,0.371,228.91
Aurelia,9.69,0,0.489,0.0
Aurelia,14.32,2,0.251,21.45
Aurelia,32.77,3,0.362,62.72
Aurelia,37.99,2,0.126,66.41
Borvik,32.91,7,0.487,118.18
Borvik,59.78,6,0.162,300.57
Cyndara,56.94,7,0.222,310.1
Aurelia,8.75,2,0.553,7.82
Aurelia,21.74,5,0.159,91.42
Aurelia,16.03,4,0.272,46.68
Aurelia,30.66,1,0.072,28.45
Aurelia,21.51,6,0.233,98.99
Aurelia,54.79,3,0.333,109.63
Borvik,46.92,3,0.385,86.57
Aurelia,38.11,6,0.157,192.76
Aurelia,38.16,5,0.207,151.3
Aurelia,78.86,11,0.653,301.01
Borvik,45.47,3,0.088,124.41
Aurelia,76.97,9,0.303,482.83
Cyndara,14.26,1,0.092,12.95
Aurelia,54.24,8,0.336,288.12
Drostal,82.17,6,0.166,411.18
Aurelia,49.14,6,0.062,276.56
Borvik,118.91,17,,1461.52
Cyndara,17.8,1,0.317,12.16
Aurelia,47.22,5,0.185,192.42
Cyndara,17.64,1,0.341,11.62
Aurelia,16.37,1,0.494,8.28
Borvik,52.65,8,0.23,324.32
Borvik,39.91,3,0.436,67.53
Aurelia,32.71,4,0.126,114.35
Cyndara,19.78,3,0.203,47.29
Cyndara,9.34,4,0.594,15.17
Aurelia,28.24,4,0.34,74.55
Aurelia,42.09,3,0.107,112.76
Aurelia,11.04,3,0.139,28.52
Aurelia,18.91,1,0.37,11.91
Borvik,91.75,10,0.457,498.2
Aurelia,69.91,11,0.196,618.28
Aurelia,45.07,1,0.3,31.55
Aurelia,12.45,1,0.436,7.02
Borvik,63.08,7,0.208,349.72
Borvik,67.2,5,0.076,310.46
Borvik,27.43,6,0.866,22.05
Borvik,25.71,0,0.137,0.0
Borvik,11.16,0,0.04,0.0
Borvik,181.47,16,0.246,2189.25
Borvik,17.33,2,0.037,33.38
Borvik,67.48,2,0.239,102.7
Cyndara,82.71,9,0.321,505.44
Cyndara,101.85,8,0.313,559.77
Borvik,43.59,6,0.431,148.82
Cyndara,25.4,3,0.458,41.3
Aurelia,61.54,7,0.135,372.62
Borvik,17.19,1,0.329,11.53
Borvik,38.73,4,0.316,105.97
Drostal,26.49,1,0.232,20.34
Aurelia,19.31,1,0.579,8.13
Aurelia,8.68,1,0.333,5.79
Borvik,31.33,3,0.576,39.85
Borvik,97.03,6,0.233,446.53
Aurelia,57.31,5,0.22,223.51
Borvik,14.71,1,0.432,8.36
Cyndara,11.64,0,0.155,0.0
Aurelia,31.61,2,0.538,29.21
Aurelia,39.16,5,,172.7
Aurelia,46.12,2,0.423,53.22
Borvik,71.85,11,0.353,511.36
Borvik,46.52,3,0.139,120.16
Aurelia,55.03,4,0.107,196.57
Borvik,32.28,1,0.147,27.53
Aurelia,35.53,1,0.251,26.61
Cyndara,40.3,5,0.408,119.29
Aurelia,77.34,6,0.002,463.11
Aurelia,12.37,2,0.412,14.55
Aurelia,65.52,7,0.137,395.81
Borvik,27.64,2,0.234,42.34
Borvik,60.44,6,0.052,343.78
Aurelia,66.78,6,0.586,165.88
Aurelia,75.12,5,0.302,262.17
Borvik,26.41,4,0.168,87.89
Borvik,56.69,6,0.087,310.55
Cyndara,126.77,19,0.307,1669.18
Aurelia,78.99,6,0.569,204.27
Aurelia,65.0,7,0.217,356.26
Aurelia,43.35,1,0.643,15.48
Drostal,62.18,6,0.377,232.43
Aurelia,37.42,2,0.532,35.03
Aurelia,36.27,4,0.084,132.89
Aurelia,16.83,3,0.343,33.17
Aurelia,39.4,2,0.127,68.79
Aurelia,93.47,7,0.088,596.71
Cyndara,12.41,1,0.633,4.55
Borvik,37.2,4,0.353,96.27
Aurelia,86.4,6,0.478,270.6
Aurelia,15.83,1,0.563,6.92
Borvik,32.27,3,0.538,44.73
Aurelia,45.38,12,0.145,465.6
Borvik,23.61,4,0.2,75.55
Aurelia,8.49,1,0.277,6.14
Drostal,17.25,1,0.58,7.25
Cyndara,47.48,5,0.337,157.4
Aurelia,91.62,7,0.45,352.74
Cyndara,67.97,4,0.28,195.75
Drostal,0.94,0,0.159,0.0
Borvik,81.22,6,0.557,215.88
Aurelia,123.09,12,0.192,1193.48
Borvik,14.16,1,0.375,8.85
Drostal,13.44,2,0.285,19.22
Cyndara,42.38,2,0.214,66.62
