ticker,qty,fill_price,side
KVDN,62,103.73,sell
KVDN,257,99.86,sell
KVDN,813,103.48,sell
WBYZ,659,98.25,sell
ZQRX,701,101.66,sell
KVDN,381,97.97,buy
KVDN,807,98.21,buy
ZQRX,714,92.95,sell
KVDN,683,96.78,buy
ZQRX,817,108.43,buy
PLOM,946,98.28,buy
MTLP,886,100.61,buy
KVDN,768,99.96,sell
ZQRX,723,97.32,buy
MTLP,394,96.17,sell
ZQRX,857,101.78,buy
KVDN,976,114.48,sell
PLOM,537,97.42,buy
MTLP,301,94.5,sell
ZQRX,707,100.67,buy
MTLP,482,105.79,buy
MTLP,960,104.5,sell
KVDN,323,101.33,sell
MTLP,78,110.04,buy
ZQRX,197,102.86,sell
ZQRX,745,101.27,sell
MTLP,669,99.28,sell
MTLP,499,98.38,buy
WBYZ,939,98.19,sell
ZQRX,959,103.01,sell
ZQRX,352,90.03,buy
WBYZ,505,104.2,sell
KVDN,740,101.42,buy
ZQRX,143,98.48,buy
PLOM,512,90.95,buy
MTLP,182,107.2,buy
KVDN,166,97.05,sell
PLOM,336,97.64,sell
PLOM,195,97.31,sell
ZQRX,558,100.33,sell
ZQRX,91,102.44,sell
KVDN,279,104.55,sell
MTLP,512,95.58,buy
MTLP,709,105.21,buy
ZQRX,35,97.24,buy
MTLP,843,100.96,buy
WBYZ,914,96.71,sell
ZQRX,542,98.56,sell
PLOM,440,93.13,buy
ZQRX,729,102.7,sell
ZQRX,923,96.9,sell
KVDN,720,97.17,sell
KVDN,987,88.7,buy
ZQRX,765,99.89,sell
KVDN,893,102.47,sell
ZQRX,815,99.28,sell
KVDN,986,99.69,sell
WBYZ,217,101.94,sell
KVDN,922,94.79,buy
WBYZ,466,99.82,sell
MTLP,558,93.66,buy
MTLP,243,95.5,buy
MTLP,887,95.7,buy
MTLP,325,114.96,buy
KVDN,44,105.17,buy
ZQRX,882,101.13,sell
KVDN,150,93.25,buy
ZQRX,555,92.5,buy
MTLP,399,101.34,buy
KVDN,324,102.0,buy
ZQRX,184,110.08,sell
ZQRX,840,98.99,sell
KVDN,147,104.86,sell
WBYZ,861,90.45,sell
ZQRX,272,105.33,buy
MTLP,928,104.88,buy
PLOM,66,102.07,buy
MTLP,38,99.79,sell
ZQRX,521,90.29,sell
KVDN,475,103.92,sell
KVDN,758,99.07,sell
MTLP,340,100.8,sell
ZQRX,956,96.9,buy
WBYZ,193,95.26,sell
ZQRX,664,95.54,buy
KVDN,704,106.33,sell
ZQRX,46,101.83,sell
ZQRX,901,101.08,buy
MTLP,255,98.15,sell
ZQRX,396,94.81,buy
MTLP,788,100.85,buy
ZQRX,199,101.99,buy
ZQRX,783,98.79,sell
MTLP,868,104.91,buy
KVDN,927,99.37,buy
MTLP,16,91.12,sell
PLOM,832,100.7,sell
WBYZ,714,98.26,sell
KVDN,756,105.48,sell
MTLP,643,95.72,buy
ZQRX,395,103.56,sell
KVDN,608,100.34,buy
ZQRX,417,97.59,sell
ZQRX,715,95.57,buy
WBYZ,775,103.66,sell
KVDN,171,100.47,sell
KVDN,599,97.46,buy
MTLP,322,97.1,buy
KVDN,323,105.15,buy
MTLP,508,100.96,sell
ZQRX,517,107.02,sell
MTLP,788,106.32,sell
ZQRX,944,95.44,buy
MTLP,30,101.64,sell
MTLP,848,105.12,buy
ZQRX,612,109.05,buy
KVDN,941,95.98,sell
PLOM,574,95.59,buy
KVDN,486,98.11,sell
KVDN,779,114.76,buy
ZQRX,875,112.94,buy
MTLP,242,97.24,sell
ZQRX,999,109.43,sell
ZQRX,59,111.08,sell
KVDN,891,112.11,sell
MTLP,682,100.51,buy
ZQRX,40,87.07,sell
ZQRX,897,98.74,buy
KVDN,165,96.65,buy
MTLP,259,83.16,buy
WBYZ,144,100.02,buy
PLOM,457,102.66,buy
MTLP,480,99.58,sell
PLOM,777,92.26,sell
ZQRX,721,99.81,sell
MTLP,502,100.55,sell
ZQRX,463,98.56,buy
MTLP,686,107.96,buy
WBYZ,607,99.13,buy
WBYZ,497,98.71,buy
MTLP,638,99.56,sell
ZQRX,669,101.26,buy
ZQRX,279,105.98,sell
PLOM,173,99.11,sell
MTLP,737,95.42,sell
MTLP,13,108.29,buy
ZQRX,374,98.31,sell
PLOM,486,94.42,sell
WBYZ,851,94.87,buy
PLOM,475,97.45,sell
MTLP,387,100.06,sell
ZQRX,973,110.81,sell
WBYZ,189,97.58,buy
ZQRX,205,100.99,buy
ZQRX,427,98.68,sell
MTLP,488,93.1,sell
KVDN,574,92.18,sell
ZQRX,744,93.92,sell
MTLP,853,101.08,buy
ZQRX,494,106.42,sell
KVDN,954,99.38,buy
ZQRX,781,107.35,buy
KVDN,105,105.29,sell
ZQRX,275,95.16,sell
MTLP,891,95.36,buy
ZQRX,545,95.43,buy
ZQRX,685,105.09,sell
KVDN,437,111.94,buy
MTLP,79,94.07,buy
ZQRX,13,102.26,buy
MTLP,157,103.27,sell
WBYZ,575,108.17,sell
PLOM,170,98.88,buy
WBYZ,57,104.99,buy
MTLP,885,98.55,sell
KVDN,154,99.32,sell
KVDN,411,94.1,buy
KVDN,298,101.12,buy
MTLP,21,114.92,buy
MTLP,857,101.4,buy
MTLP,136,96.94,buy
WBYZ,919,96.15,sell
WBYZ,575,106.26,buy
WBYZ,831,109.7,sell
MTLP,212,108.6,sell
WBYZ,194,103.48,buy
ZQRX,996,92.81,buy
PLOM,830,100.33,sell
MTLP,997,104.3,buy
PLOM,797,107.25,buy
ZQRX,57,97.26,buy
WBYZ,528,105.98,buy
KVDN,327,102.13,buy
KVDN,42,96.01,buy
ZQRX,388,100.79,sell
WBYZ,650,101.71,buy
ZQRX,993,100.82,sell
KVDN,98,97.61,sell
ZQRX,91,104.84,buy
KVDN,244,95.62,sell
ZQRX,51,105.74,sell
PLOM,643,92.72,buy
KVDN,978,94.93,buy
KVDN,682,95.32,sell
ZQRX,307,86.27,sell
WBYZ,245,97.23,sell
WBYZ,496,106.12,buy
ZQRX,941,102.1,sell
PLOM,734,101.39,buy
ZQRX,732,101.51,buy
MTLP,228,97.71,sell
MTLP,715,94.63,buy
KVDN,214,104.46,buy
KVDN,129,98.5,buy
ZQRX,710,97.64,buy
KVDN,228,97.35,buy
ZQRX,908,102.74,sell
KVDN,205,104.17,buy
ZQRX,262,102.93,sell
MTLP,184,93.86,sell
MTLP,719,98.27,buy
KVDN,137,109.5,buy
ZQRX,564,91.95,buy
ZQRX,139,106.44,buy
WBYZ,97,100.7,sell
ZQRX,366,97.72,sell
KVDN,614,105.28,buy
ZQRX,115,89.93,buy
PLOM,838,94.26,buy
ZQRX,302,102.07,buy
KVDN,536,89.68,sell
ZQRX,244,101.14,sell
ZQRX,421,103.26,sell
KVDN,325,110.08,sell
MTLP,144,100.26,buy
ZQRX,184,91.33,buy
WBYZ,797,103.07,buy
KVDN,65,95.13,sell
MTLP,361,102.51,buy
ZQRX,840,97.72,sell
KVDN,540,102.06,sell
KVDN,980,100.41,buy
WBYZ,584,99.18,buy
WBYZ,674,98.84,buy
PLOM,985,103.14,sell
ZQRX,323,93.52,sell
ZQRX,574,93.15,buy
ZQRX,722,92.36,sell
MTLP,307,105.09,buy
MTLP,953,95.64,buy
KVDN,968,100.16,sell
KVDN,689,103.1,buy
ZQRX,788,104.63,buy
KVDN,379,108.31,buy
ZQRX,361,101.72,sell
ZQRX,725,88.01,sell
ZQRX,140,98.16,sell
KVDN,459,100.89,buy
ZQRX,626,95.65,sell
KVDN,38,108.93,buy
KVDN,915,104.62,sell
ZQRX,51,101.05,buy
ZQRX,261,103.03,buy
MTLP,304,108.3,buy
ZQRX,493,94.89,sell
KVDN,434,93.58,sell
ZQRX,242,106.66,buy
ZQRX,608,98.91,buy
KVDN,300,99.8,buy
ZQRX,175,98.48,sell
PLOM,733,108.69,sell
ZQRX,406,102.89,sell
KVDN,787,97.36,buy
ZQRX,980,97.5,buy
ZQRX,886,104.66,sell
ZQRX,61,101.78,buy
WBYZ,873,102.47,buy
ZQRX,46,102.33,sell
ZQRX,911,87.4,sell
MTLP,11,93.54,buy
KVDN,707,92.29,buy
ZQRX,647,97.67,sell
ZQRX,224,95.93,sell
MTLP,991,104.48,buy
WBYZ,858,97.0,sell
MTLP,771,102.94,buy
MTLP,455,101.77,buy
ZQRX,741,105.41,buy
ZQRX,822,96.74,sell
ZQRX,163,102.88,sell
ZQRX,942,87.59,sell
WBYZ,641,99.26,sell
ZQRX,481,96.73,sell
ZQRX,467,114.52,sell
ZQRX,932,97.12,buy
ZQRX,435,100.98,buy
ZQRX,708,96.52,sell
WBYZ,148,96.8,sell
ZQRX,567,97.58,buy
WBYZ,69,96.22,sell
KVDN,331,100.78,buy
ZQRX,300,101.05,buy
KVDN,721,99.87,buy
KVDN,757,105.36,buy
PLOM,347,90.35,buy
ZQRX,638,101.42,buy
MTLP,347,97.15,sell
ZQRX,75,97.97,buy
PLOM,224,92.11,buy
KVDN,178,97.71,buy
KVDN,224,98.26,buy
MTLP,679,100.01,buy
MTLP,226,103.32,sell
KVDN,982,93.78,buy
ZQRX,661,103.27,buy
WBYZ,848,103.57,buy
MTLP,980,105.04,sell
MTLP,42,97.89,sell
MTLP,472,99.03,buy
ZQRX,740,91.0,sell
ZQRX,546,105.07,buy
PLOM,532,103.72,buy
MTLP,667,97.31,buy
WBYZ,189,99.77,buy
ZQRX,263,99.68,buy
MTLP,594,91.3,buy
WBYZ,64,100.32,buy
WBYZ,522,110.33,sell
MTLP,453,97.46,buy
KVDN,729,98.78,buy
WBYZ,452,94.46,buy
WBYZ,42,94.06,buy
WBYZ,410,90.86,sell
WBYZ,791,89.91,sell
MTLP,802,98.93,sell
WBYZ,459,104.27,sell
ZQRX,419,92.47,sell
PLOM,402,89.36,sell
ZQRX,453,102.03,buy
WBYZ,97,103.03,buy
WBYZ,258,102.62,buy
ZQRX,611,98.94,buy
KVDN,470,96.52,buy
KVDN,745,98.01,buy
MTLP,783,99.3,buy
MTLP,389,97.45,sell
WBYZ,415,110.14,sell
ZQRX,398,102.89,sell
ZQRX,827,104.21,sell
WBYZ,447,101.92,sell
WBYZ,528,97.9,buy
KVDN,977,106.58,sell
ZQRX,109,94.48,sell
ZQRX,734,99.63,buy
ZQRX,388,103.84,buy
PLOM,791,107.46,sell
KVDN,948,97.91,sell
MTLP,63,98.45,buy
ZQRX,451,100.22,buy
KVDN,820,99.04,buy
WBYZ,906,98.58,buy
WBYZ,379,99.18,sell
KVDN,37,99.11,buy
WBYZ,186,105.36,sell
KVDN,854,91.74,sell
ZQRX,41,93.63,buy
KVDN,66,96.03,sell
PLOM,243,101.55,buy
MTLP,620,103.46,buy
MTLP,166,90.96,buy
ZQRX,30,96.21,buy
ZQRX,70,97.44,buy
ZQRX,747,102.8,sell
PLOM,72,95.0,buy
PLOM,421,94.57,sell
KVDN,852,104.48,sell
MTLP,384,95.77,buy
PLOM,17,96.84,sell
KVDN,93,104.07,buy
MTLP,716,95.48,buy
KVDN,569,99.63,buy
ZQRX,757,103.76,sell
KVDN,733,108.03,buy
ZQRX,554,107.51,buy
ZQRX,786,94.84,buy
ZQRX,709,103.8,buy
WBYZ,666,104.28,sell
ZQRX,168,98.6,sell
ZQRX,167,116.32,sell
PLOM,463,96.49,buy
PLOM,96,98.87,sell
MTLP,166,94.68,sell
WBYZ,781,95.08,sell
MTLP,951,95.33,sell
WBYZ,163,100.3,buy
KVDN,639,104.88,buy
PLOM,573,99.36,sell
MTLP,141,108.25,sell
ZQRX,270,95.32,buy
ZQRX,610,94.51,sell
KVDN,857,102.16,buy
KVDN,793,100.07,buy
WBYZ,144,96.58,buy
MTLP,864,105.4,buy
PLOM,674,95.52,sell
PLOM,499,97.26,buy
KVDN,76,100.85,buy
ZQRX,901,111.05,buy
MTLP,112,103.85,sell
MTLP,901,102.8,buy
ZQRX,371,107.9,buy
ZQRX,791,101.11,sell
KVDN,940,101.76,sell
ZQRX,382,101.3,sell
WBYZ,341,102.58,sell
PLOM,815,97.33,buy
ZQRX,161,93.63,buy
ZQRX,341,96.15,buy
MTLP,820,91.77,buy
MTLP,706,96.87,sell
KVDN,875,96.86,sell
WBYZ,284,95.64,sell
WBYZ,275,107.32,sell
MTLP,778,93.29,buy
KVDN,365,108.15,sell
MTLP,703,98.05,sell
ZQRX,854,93.76,buy
MTLP,582,101.31,sell
KVDN,50,104.61,buy
ZQRX,750,95.54,sell
ZQRX,995,101.59,buy
KVDN,958,104.37,buy
ZQRX,203,93.83,buy
MTLP,770,91.45,sell
MTLP,547,105.81,sell
PLOM,278,91.98,buy
MTLP,177,103.86,buy
MTLP,443,93.56,sell
MTLP,691,104.3,buy
KVDN,229,102.12,buy
ZQRX,113,103.12,buy
KVDN,716,101.97,buy
WBYZ,698,96.11,sell
KVDN,739,93.79,buy
ZQRX,533,98.37,sell
MTLP,688,93.27,sell
PLOM,300,98.36,sell
WBYZ,355,108.15,buy
WBYZ,478,106.63,buy
KVDN,441,97.46,buy
WBYZ,180,95.83,sell
PLOM,604,100.72,sell
KVDN,839,102.79,buy
ZQRX,407,105.26,sell
ZQRX,695,105.74,buy
ZQRX,293,100.41,sell
ZQRX,785,94.62,sell
MTLP,893,98.41,buy
KVDN,783,102.1,buy
MTLP,61,97.97,buy
MTLP,121,95.15,buy
MTLP,827,101.64,buy
MTLP,486,92.27,buy
ZQRX,178,92.66,buy
PLOM,825,101.17,sell
ZQRX,986,99.47,buy
ZQRX,469,101.11,sell
KVDN,71,101.14,sell
KVDN,63,90.55,buy
KVDN,975,103.38,sell
ZQRX,169,103.32,sell
ZQRX,920,103.24,sell
MTLP,200,93.87,buy
ZQRX,911,106.45,buy
KVDN,358,101.59,sell
KVDN,451,99.04,sell
MTLP,78,92.05,sell
WBYZ,80,103.18,buy
MTLP,298,89.2,buy
MTLP,903,101.8,sell
MTLP,333,97.26,buy
MTLP,239,103.01,sell
PLOM,404,97.35,sell
KVDN,588,98.17,sell
MTLP,765,102.66,sell
ZQRX,895,96.73,buy
MTLP,701,103.98,sell
ZQRX,647,115.0,sell
MTLP,704,98.96,buy
WBYZ,567,92.63,sell
MTLP,118,100.69,sell
WBYZ,305,103.49,buy
WBYZ,585,104.72,buy
KVDN,606,100.95,buy
ZQRX,113,97.04,buy
MTLP,400,102.6,sell
KVDN,190,102.02,sell
MTLP,967,102.26,sell
KVDN,729,106.45,buy
ZQRX,765,101.18,buy
ZQRX,14,105.84,sell
KVDN,970,101.23,sell
MTLP,785,108.57,sell
WBYZ,301,100.35,buy
MTLP,127,105.87,buy
MTLP,793,106.69,buy
PLOM,880,100.46,sell
MTLP,479,108.88,sell
MTLP,876,100.14,buy
MTLP,12,100.94,sell
KVDN,126,99.99,buy
MTLP,673,99.33,buy
PLOM,914,104.33,buy
ZQRX,269,89.76,sell
MTLP,727,103.48,buy
ZQRX,163,99.58,sell
ZQRX,455,99.62,sell
WBYZ,482,100.21,sell
ZQRX,633,100.59,buy
WBYZ,714,94.83,sell
ZQRX,106,101.87,sell
ZQRX,113,97.16,sell
KVDN,36,110.21,sell
WBYZ,738,93.96,sell
ZQRX,508,101.19,buy
PLOM,444,104.21,buy
KVDN,26,95.85,sell
KVDN,397,97.88,sell
KVDN,283,97.76,buy
ZQRX,118,105.25,buy
KVDN,551,102.49,buy
PLOM,79,95.67,buy
ZQRX,847,92.85,sell
ZQRX,931,95.23,sell
PLOM,753,93.94,buy
MTLP,361,101.91,buy
PLOM,60,102.04,sell
WBYZ,242,99.31,buy
MTLP,263,108.93,sell
PLOM,903,103.85,buy
PLOM,203,99.98,buy
WBYZ,788,100.06,sell
MTLP,432,96.82,buy
MTLP,222,92.34,sell
ZQRX,379,102.4,buy
MTLP,327,92.62,sell
MTLP,703,102.98,sell
MTLP,607,105.09,sell
KVDN,533,92.85,buy
WBYZ,934,99.29,sell
WBYZ,718,93.72,sell
MTLP,965,100.22,buy
WBYZ,758,103.69,buy
KVDN,72,113.28,sell
ZQRX,804,92.03,buy
MTLP,216,101.34,buy
ZQRX,802,101.28,buy
WBYZ,899,100.49,sell
MTLP,459,88.17,sell
KVDN,304,100.36,buy
ZQRX,423,103.83,buy
WBYZ,356,91.53,buy
MTLP,302,99.93,buy
MTLP,552,97.67,buy
MTLP,534,96.88,sell
ZQRX,826,100.26,buy
ZQRX,378,101.18,sell
ZQRX,619,111.48,buy
ZQRX,74,106.03,buy
MTLP,200,98.35,sell
ZQRX,544,106.13,sell
PLOM,551,105.13,sell
KVDN,707,100.53,sell
ZQRX,728,104.56,buy
MTLP,66,102.98,buy
MTLP,642,101.71,sell
ZQRX,344,103.96,buy
ZQRX,391,93.86,sell
MTLP,459,105.88,sell
MTLP,877,91.39,buy
ZQRX,644,107.43,sell
MTLP,302,103.14,buy
PLOM,457,87.96,sell
MTLP,526,99.73,buy
KVDN,91,97.05,sell
MTLP,502,103.55,buy
PLOM,384,80.89,buy
MTLP,234,93.94,sell
ZQRX,871,100.43,buy
MTLP,508,102.74,sell
WBYZ,239,95.85,sell
MTLP,704,95.78,buy
MTLP,836,107.77,sell
MTLP,757,105.2,buy
MTLP,67,106.49,buy
PLOM,988,99.9,sell
MTLP,263,95.12,sell
MTLP,338,106.23,buy
MTLP,645,94.71,buy
ZQRX,647,95.45,sell
PLOM,754,114.43,sell
WBYZ,579,101.5,buy
KVDN,373,101.61,buy
KVDN,319,102.15,buy
MTLP,404,100.41,buy
MTLP,783,98.12,sell
MTLP,111,105.09,buy
MTLP,404,100.61,sell
WBYZ,588,102.1,sell
PLOM,219,106.47,sell
KVDN,23,102.34,buy
KVDN,163,108.12,buy
PLOM,323,101.32,buy
MTLP,94,100.91,sell
ZQRX,328,102.2,sell
PLOM,605,94.11,buy
ZQRX,159,104.98,buy
KVDN,271,98.08,sell
MTLP,830,81.2,sell
KVDN,91,106.26,buy
ZQRX,190,90.65,sell
PLOM,371,89.79,sell
KVDN,528,101.39,sell
ZQRX,986,102.28,buy
MTLP,926,111.16,sell
WBYZ,94,101.8,sell
ZQRX,832,108.75,sell
PLOM,54,110.08,buy
KVDN,17,90.18,buy
MTLP,726,97.1,sell
KVDN,120,96.06,sell
WBYZ,329,112.13,buy
PLOM,263,89.82,sell
WBYZ,361,110.73,sell
ZQRX,629,101.46,buy
ZQRX,955,104.39,buy
KVDN,702,91.67,sell
ZQRX,981,103.63,sell
MTLP,44,101.49,sell
MTLP,671,98.17,buy
MTLP,563,99.56,sell
MTLP,963,97.8,sell
ZQRX,38,98.05,sell
KVDN,436,101.18,buy
ZQRX,647,101.12,sell
WBYZ,734,108.19,buy
WBYZ,344,103.23,buy
MTLP,303,112.36,sell
MTLP,203,95.9,buy
ZQRX,422,102.58,buy
MTLP,181,100.3,buy
ZQRX,207,96.85,sell
PLOM,132,101.78,buy
WBYZ,446,97.91,buy
ZQRX,157,99.56,buy
ZQRX,698,101.24,sell
KVDN,853,98.92,buy
MTLP,46,101.01,buy
ZQRX,114,93.91,buy
ZQRX,190,101.06,buy
KVDN,842,101.73,sell
KVDN,846,107.81,buy
ZQRX,628,100.46,sell
MTLP,150,104.15,buy
KVDN,926,100.01,sell
MTLP,867,95.41,sell
ZQRX,26,106.14,sell
WBYZ,430,103.06,buy
KVDN,789,100.86,buy
WBYZ,227,91.87,buy
PLOM,611,101.99,buy
KVDN,352,101.71,buy
MTLP,16,90.96,buy
ZQRX,512,111.39,buy
KVDN,823,103.81,buy
ZQRX,63,95.13,buy
ZQRX,349,91.51,buy
MTLP,112,90.23,sell
PLOM,741,90.86,sell
KVDN,774,110.97,buy
WBYZ,819,99.29,buy
KVDN,411,100.51,buy
MTLP,500,91.93,sell
PLOM,134,91.91,sell
WBYZ,803,88.91,buy
ZQRX,614,94.41,sell
KVDN,261,101.03,sell
WBYZ,771,97.73,sell
WBYZ,429,94.76,buy
WBYZ,114,100.63,buy
PLOM,729,101.65,sell
KVDN,220,106.76,buy
KVDN,250,106.17,buy
ZQRX,986,98.18,sell
KVDN,695,103.64,buy
MTLP,947,93.26,sell
ZQRX,957,101.48,sell
ZQRX,793,99.13,sell
ZQRX,96,96.33,buy
PLOM,796,113.71,buy
WBYZ,135,96.33,buy
KVDN,490,103.33,sell
MTLP,857,98.04,sell
PLOM,412,104.34,sell
PLOM,375,94.22,sell
ZQRX,367,94.92,sell
ZQRX,425,100.63,buy
WBYZ,176,102.81,buy
ZQRX,22,99.56,buy
WBYZ,286,97.68,sell
ZQRX,94,90.94,sell
ZQRX,527,101.58,buy
KVDN,765,93.87,buy
MTLP,940,96.27,sell
MTLP,968,98.15,buy
WBYZ,188,97.22,buy
MTLP,302,95.8,buy
PLOM,49,107.16,sell
KVDN,894,105.44,buy
ZQRX,690,100.33,buy
MTLP,627,102.04,sell
ZQRX,390,100.64,sell
ZQRX,584,105.02,buy
ZQRX,832,108.53,buy
ZQRX,95,100.08,sell
KVDN,152,104.31,sell
MTLP,44,104.17,sell
WBYZ,664,102.43,buy
MTLP,900,102.74,sell
KVDN,123,102.29,buy
MTLP,55,101.75,sell
ZQRX,391,102.9,buy
KVDN,249,98.19,buy
ZQRX,940,95.72,sell
MTLP,349,95.03,sell
MTLP,853,95.51,buy
PLOM,823,102.85,buy
MTLP,696,101.02,buy
MTLP,865,94.11,buy
ZQRX,175,95.66,sell
ZQRX,954,94.39,buy
WBYZ,186,101.56,sell
ZQRX,682,103.18,sell
MTLP,994,98.93,sell
ZQRX,819,96.77,buy
MTLP,952,96.67,sell
ZQRX,525,95.1,buy
MTLP,735,112.1,sell
MTLP,51,94.89,buy
WBYZ,387,93.21,sell
ZQRX,304,102.88,sell
PLOM,665,110.5,buy
KVDN,825,98.54,sell
PLOM,912,92.49,buy
MTLP,229,98.37,buy
PLOM,719,96.58,buy
MTLP,135,96.53,sell
PLOM,889,101.2,buy
ZQRX,379,102.06,sell
MTLP,366,107.2,buy
WBYZ,840,93.68,buy
ZQRX,12,91.64,sell
PLOM,569,91.92,sell
PLOM,560,99.01,buy
PLOM,910,95.09,sell
ZQRX,793,94.42,buy
MTLP,462,88.43,buy
KVDN,664,94.36,buy
MTLP,352,95.78,sell
PLOM,724,93.76,buy
ZQRX,785,98.25,sell
ZQRX,611,95.16,buy
MTLP,982,96.76,sell
KVDN,591,95.15,sell
WBYZ,10,97.68,sell
ZQRX,822,94.18,buy
PLOM,674,91.82,buy
MTLP,112,101.21,buy
KVDN,321,101.1,buy
ZQRX,214,98.45,sell
KVDN,808,102.33,sell
KVDN,313,100.94,buy
KVDN,700,94.0,sell
PLOM,613,93.46,buy
MTLP,872,104.6,buy
WBYZ,91,94.62,buy
ZQRX,696,97.79,sell
ZQRX,479,95.6,sell
WBYZ,898,96.05,buy
MTLP,481,93.84,buy
MTLP,299,91.37,buy
ZQRX,783,98.26,buy
MTLP,713,98.5,sell
ZQRX,260,102.42,sell
ZQRX,804,92.14,buy
KVDN,691,102.44,buy
ZQRX,90,96.84,sell
MTLP,534,97.4,buy
ZQRX,130,105.25,sell
PLOM,486,103.94,buy
WBYZ,181,99.33,sell
WBYZ,595,110.07,buy
MTLP,480,101.19,sell
WBYZ,363,107.35,buy
KVDN,879,99.86,buy
WBYZ,843,95.12,buy
PLOM,571,102.44,buy
KVDN,435,99.78,buy
KVDN,896,93.37,sell
ZQRX,130,97.8,buy
PLOM,753,97.15,sell
MTLP,979,101.12,sell
MTLP,300,105.26,sell
MTLP,540,104.96,sell
ZQRX,343,98.9,buy
WBYZ,620,97.92,buy
PLOM,50,97.27,buy
PLOM,814,100.14,buy
MTLP,75,104.77,sell
MTLP,861,104.73,buy
PLOM,235,95.81,buy
WBYZ,356,105.09,sell
ZQRX,704,103.32,buy
WBYZ,202,93.34,buy
WBYZ,480,101.85,sell
MTLP,136,99.96,buy
ZQRX,395,100.48,sell
MTLP,450,106.03,sell
ZQRX,321,91.66,buy
MTLP,558,99.18,buy
KVDN,754,98.79,buy
PLOM,154,98.86,buy
PLOM,665,99.09,sell
ZQRX,978,97.77,sell
KVDN,851,95.85,sell
ZQRX,366,101.09,buy
KVDN,293,88.79,buy
PLOM,787,101.42,buy
WBYZ,424,105.11,buy
MTLP,837,95.34,buy
WBYZ,744,98.73,sell
ZQRX,471,100.86,sell
MTLP,626,99.67,sell
ZQRX,985,100.93,sell
